CD3.CD4,CD3.CD4.FOXP3,CD3.CD8
1.2037656399946826,1.5209681165430387,1.148590725298061
1.4709446118395364,1.7725079381635922,1.3692529151762587
0,1.4907442529056216,0
1.4515827151203355,1.5588923885452086,1.4189892866154472
1.506633929885613,1.6383577709365438,1.37862417915029
1.4783819773018936,1.5756178751262748,1.4141181132018137
1.890491019487101,2.405823452168862,1.6371980237194874
0,1.7330529678257554,0
1.1545053475122458,1.2805376217224969,0
1.3611101072752665,1.744363206263792,1.3329558405997792
1.627302049493598,1.6435435118177724,0
1.4497044884863626,1.5711647137265408,1.2179483959175816
1.9243709887810914,2.035135892907359,1.5487279776299108
1.4170575046020812,1.613775556323453,1.32830754207577
1.0765330407015468,1.481915656556228,1.0331797094861948
1.541485407115806,1.5404814712386894,0
1.481108338525241,3.103110609615785,1.2271598331318851
1.3859477329579604,1.5199247455621432,1.3893667662917957
1.6977671913659411,2.848853523476383,1.6362255778350163
2.3367809337508323,3.2244427112586984,2.3941584121855755
1.4009117004633658,1.830457098650006,1.3001016378593637
