Sample,Batch,Dye,Panel1.Marker,Panel1.Compartment,Panel2.Marker,Panel2.Compartment,Panel3.Marker,Panel3.Compartment,Panel4.Marker,Panel4.Compartment,Panel5.Marker,Panel5.Compartment,Panel6.Marker,Panel6.Compartment
mel_15,1,Dye_5,FOXP3,Nucleus,TIM3,Cytoplasm,TGM2,"Cytoplasm,Nucleus",MHCI,Cytoplasm,TIM3,Cytoplasm,TIM3,Cytoplasm
mel_15,1,Dye_6,CD45,"Cytoplasm,Nucleus",CD56,"Cytoplasm,Nucleus",CD27,Cytoplasm,PDL1,"Cytoplasm,Nucleus",CD56,"Cytoplasm,Nucleus",CD56,"Cytoplasm,Nucleus"
mel_15,1,Dye_7,CD20,"Cytoplasm,Nucleus",B7H3,Cytoplasm,CD68,Cytoplasm,ICOS,"Cytoplasm,Nucleus",B7H3,Cytoplasm,B7H3,Cytoplasm
mel_15,1,Dye_8,SOX10,Nucleus,IDO1,"Cytoplasm,Nucleus",S100B,"Cytoplasm,Nucleus",PCK26,Cytoplasm,IDO1,"Cytoplasm,Nucleus",IDO1,"Cytoplasm,Nucleus"
mel_16,1,Dye_1,DAPI1,Nucleus,DAPI1,Nucleus,DAPI1,Nucleus,DAPI1,Nucleus,NA,NA,NA,NA
mel_16,1,Dye_2,CD3,"Cytoplasm,Nucleus",KI67,Nucleus,CD163,"Cytoplasm,Nucleus",MHCII,Cytoplasm,NA,NA,NA,NA
mel_16,1,Dye_3,CD4,"Cytoplasm,Nucleus",PD1,"Cytoplasm,Nucleus",CD14,Cytoplasm,B2M,Cytoplasm,NA,NA,NA,NA
mel_16,1,Dye_4,CD8,"Cytoplasm,Nucleus",LAG3-17B4,"Cytoplasm,Nucleus",MRC1,"Cytoplasm,Nucleus",CD25,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_16,1,Dye_5,FOXP3,Nucleus,TIM3,Cytoplasm,TGM2,"Cytoplasm,Nucleus",MHCI,Cytoplasm,NA,NA,NA,NA
mel_16,1,Dye_6,CD45,"Cytoplasm,Nucleus",CD56,"Cytoplasm,Nucleus",CD27,Cytoplasm,PDL1,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_16,1,Dye_7,CD20,"Cytoplasm,Nucleus",B7H3,Cytoplasm,CD68,Cytoplasm,ICOS,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_16,1,Dye_8,SOX10,Nucleus,IDO1,"Cytoplasm,Nucleus",S100B,"Cytoplasm,Nucleus",PCK26,Cytoplasm,NA,NA,NA,NA
mel_17,1,Dye_1,DAPI1,Nucleus,DAPI1,Nucleus,DAPI1,Nucleus,DAPI1,Nucleus,NA,NA,NA,NA
mel_17,1,Dye_2,CD3,"Cytoplasm,Nucleus",KI67,Nucleus,CD163,"Cytoplasm,Nucleus",MHCII,Cytoplasm,NA,NA,NA,NA
mel_17,1,Dye_3,CD4,"Cytoplasm,Nucleus",PD1,"Cytoplasm,Nucleus",CD14,Cytoplasm,B2M,Cytoplasm,NA,NA,NA,NA
mel_17,1,Dye_4,CD8,"Cytoplasm,Nucleus",LAG3-17B4,"Cytoplasm,Nucleus",MRC1,"Cytoplasm,Nucleus",CD25,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_17,1,Dye_5,FOXP3,Nucleus,TIM3,Cytoplasm,TGM2,"Cytoplasm,Nucleus",MHCI,Cytoplasm,NA,NA,NA,NA
mel_17,1,Dye_6,CD45,"Cytoplasm,Nucleus",CD56,"Cytoplasm,Nucleus",CD27,Cytoplasm,PDL1,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_17,1,Dye_7,CD20,"Cytoplasm,Nucleus",B7H3,Cytoplasm,CD68,Cytoplasm,ICOS,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_17,1,Dye_8,SOX10,Nucleus,IDO1,"Cytoplasm,Nucleus",S100B,"Cytoplasm,Nucleus",PCK26,Cytoplasm,NA,NA,NA,NA
mel_18,1,Dye_1,DAPI1,Nucleus,DAPI1,Nucleus,DAPI1,Nucleus,DAPI1,Nucleus,NA,NA,NA,NA
mel_18,1,Dye_2,CD3,"Cytoplasm,Nucleus",KI67,Nucleus,CD163,"Cytoplasm,Nucleus",MHCII,Cytoplasm,NA,NA,NA,NA
mel_18,1,Dye_3,CD4,"Cytoplasm,Nucleus",PD1,"Cytoplasm,Nucleus",CD14,Cytoplasm,B2M,Cytoplasm,NA,NA,NA,NA
mel_18,1,Dye_4,CD8,"Cytoplasm,Nucleus",LAG3-17B4,"Cytoplasm,Nucleus",MRC1,"Cytoplasm,Nucleus",CD25,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_18,1,Dye_5,FOXP3,Nucleus,TIM3,Cytoplasm,TGM2,"Cytoplasm,Nucleus",MHCI,Cytoplasm,NA,NA,NA,NA
mel_18,1,Dye_6,CD45,"Cytoplasm,Nucleus",CD56,"Cytoplasm,Nucleus",CD27,Cytoplasm,PDL1,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_18,1,Dye_7,CD20,"Cytoplasm,Nucleus",B7H3,Cytoplasm,CD68,Cytoplasm,ICOS,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_18,1,Dye_8,SOX10,Nucleus,IDO1,"Cytoplasm,Nucleus",S100B,"Cytoplasm,Nucleus",PCK26,Cytoplasm,NA,NA,NA,NA
mel_19,1,Dye_1,DAPI1,Nucleus,DAPI1,Nucleus,DAPI1,Nucleus,DAPI1,Nucleus,NA,NA,NA,NA
mel_19,1,Dye_2,CD3,"Cytoplasm,Nucleus",KI67,Nucleus,CD163,"Cytoplasm,Nucleus",MHCII,Cytoplasm,NA,NA,NA,NA
mel_19,1,Dye_3,CD4,"Cytoplasm,Nucleus",PD1,"Cytoplasm,Nucleus",CD14,Cytoplasm,B2M,Cytoplasm,NA,NA,NA,NA
mel_19,1,Dye_4,CD8,"Cytoplasm,Nucleus",LAG3-17B4,"Cytoplasm,Nucleus",MRC1,"Cytoplasm,Nucleus",CD25,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_19,1,Dye_5,FOXP3,Nucleus,TIM3,Cytoplasm,TGM2,"Cytoplasm,Nucleus",MHCI,Cytoplasm,NA,NA,NA,NA
mel_19,1,Dye_6,CD45,"Cytoplasm,Nucleus",CD56,"Cytoplasm,Nucleus",CD27,Cytoplasm,PDL1,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_19,1,Dye_7,CD20,"Cytoplasm,Nucleus",B7H3,Cytoplasm,CD68,Cytoplasm,ICOS,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_19,1,Dye_8,SOX10,Nucleus,IDO1,"Cytoplasm,Nucleus",S100B,"Cytoplasm,Nucleus",PCK26,Cytoplasm,NA,NA,NA,NA
mel_1,1,Dye_1,DAPI1,Nucleus,DAPI1,Nucleus,DAPI1,Nucleus,DAPI1,Nucleus,NA,NA,NA,NA
mel_1,1,Dye_2,CD3,"Cytoplasm,Nucleus",KI67,Nucleus,CD163,"Cytoplasm,Nucleus",MHCII,Cytoplasm,NA,NA,NA,NA
mel_1,1,Dye_3,CD4,"Cytoplasm,Nucleus",PD1,"Cytoplasm,Nucleus",CD14,Cytoplasm,B2M,Cytoplasm,NA,NA,NA,NA
mel_1,1,Dye_4,CD8,"Cytoplasm,Nucleus",LAG3-17B4,"Cytoplasm,Nucleus",MRC1,"Cytoplasm,Nucleus",CD25,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_1,1,Dye_5,FOXP3,Nucleus,TIM3,Cytoplasm,TGM2,"Cytoplasm,Nucleus",MHCI,Cytoplasm,NA,NA,NA,NA
mel_1,1,Dye_6,CD45,"Cytoplasm,Nucleus",CD56,"Cytoplasm,Nucleus",CD27,Cytoplasm,PDL1,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_1,1,Dye_7,CD20,"Cytoplasm,Nucleus",B7H3,Cytoplasm,CD68,Cytoplasm,ICOS,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_1,1,Dye_8,SOX10,Nucleus,IDO1,"Cytoplasm,Nucleus",S100B,"Cytoplasm,Nucleus",PCK26,Cytoplasm,NA,NA,NA,NA
mel_20,1,Dye_1,DAPI1,Nucleus,DAPI1,Nucleus,DAPI1,Nucleus,DAPI1,Nucleus,NA,NA,NA,NA
mel_20,1,Dye_2,CD3,"Cytoplasm,Nucleus",KI67,Nucleus,CD163,"Cytoplasm,Nucleus",MHCII,Cytoplasm,NA,NA,NA,NA
mel_20,1,Dye_3,CD4,"Cytoplasm,Nucleus",PD1,"Cytoplasm,Nucleus",CD14,Cytoplasm,B2M,Cytoplasm,NA,NA,NA,NA
mel_20,1,Dye_4,CD8,"Cytoplasm,Nucleus",LAG3-17B4,"Cytoplasm,Nucleus",MRC1,"Cytoplasm,Nucleus",CD25,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_20,1,Dye_5,FOXP3,Nucleus,TIM3,Cytoplasm,TGM2,"Cytoplasm,Nucleus",MHCI,Cytoplasm,NA,NA,NA,NA
mel_20,1,Dye_6,CD45,"Cytoplasm,Nucleus",CD56,"Cytoplasm,Nucleus",CD27,Cytoplasm,PDL1,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_20,1,Dye_7,CD20,"Cytoplasm,Nucleus",B7H3,Cytoplasm,CD68,Cytoplasm,ICOS,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_20,1,Dye_8,SOX10,Nucleus,IDO1,"Cytoplasm,Nucleus",S100B,"Cytoplasm,Nucleus",PCK26,Cytoplasm,NA,NA,NA,NA
mel_21,1,Dye_1,DAPI1,Nucleus,DAPI1,Nucleus,DAPI1,Nucleus,DAPI1,Nucleus,NA,NA,NA,NA
mel_21,1,Dye_2,CD3,"Cytoplasm,Nucleus",KI67,Nucleus,CD163,"Cytoplasm,Nucleus",MHCII,Cytoplasm,NA,NA,NA,NA
mel_21,1,Dye_3,CD4,"Cytoplasm,Nucleus",PD1,"Cytoplasm,Nucleus",CD14,Cytoplasm,B2M,Cytoplasm,NA,NA,NA,NA
mel_21,1,Dye_4,CD8,"Cytoplasm,Nucleus",LAG3-17B4,"Cytoplasm,Nucleus",MRC1,"Cytoplasm,Nucleus",CD25,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_21,1,Dye_5,FOXP3,Nucleus,TIM3,Cytoplasm,TGM2,"Cytoplasm,Nucleus",MHCI,Cytoplasm,NA,NA,NA,NA
mel_21,1,Dye_6,CD45,"Cytoplasm,Nucleus",CD56,"Cytoplasm,Nucleus",CD27,Cytoplasm,PDL1,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_21,1,Dye_7,CD20,"Cytoplasm,Nucleus",B7H3,Cytoplasm,CD68,Cytoplasm,ICOS,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_21,1,Dye_8,SOX10,Nucleus,IDO1,"Cytoplasm,Nucleus",S100B,"Cytoplasm,Nucleus",PCK26,Cytoplasm,NA,NA,NA,NA
mel_2,1,Dye_1,DAPI1,Nucleus,DAPI1,Nucleus,DAPI1,Nucleus,DAPI1,Nucleus,NA,NA,NA,NA
mel_2,1,Dye_2,CD3,"Cytoplasm,Nucleus",KI67,Nucleus,CD163,"Cytoplasm,Nucleus",MHCII,Cytoplasm,NA,NA,NA,NA
mel_2,1,Dye_3,CD4,"Cytoplasm,Nucleus",PD1,"Cytoplasm,Nucleus",CD14,Cytoplasm,B2M,Cytoplasm,NA,NA,NA,NA
mel_2,1,Dye_4,CD8,"Cytoplasm,Nucleus",LAG3-17B4,"Cytoplasm,Nucleus",MRC1,"Cytoplasm,Nucleus",CD25,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_2,1,Dye_5,FOXP3,Nucleus,TIM3,Cytoplasm,TGM2,"Cytoplasm,Nucleus",MHCI,Cytoplasm,NA,NA,NA,NA
mel_2,1,Dye_6,CD45,"Cytoplasm,Nucleus",CD56,"Cytoplasm,Nucleus",CD27,Cytoplasm,PDL1,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_2,1,Dye_7,CD20,"Cytoplasm,Nucleus",B7H3,Cytoplasm,CD68,Cytoplasm,ICOS,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_2,1,Dye_8,SOX10,Nucleus,IDO1,"Cytoplasm,Nucleus",S100B,"Cytoplasm,Nucleus",PCK26,Cytoplasm,NA,NA,NA,NA
mel_3,1,Dye_1,DAPI1,Nucleus,DAPI1,Nucleus,DAPI1,Nucleus,DAPI1,Nucleus,NA,NA,NA,NA
mel_3,1,Dye_2,CD3,"Cytoplasm,Nucleus",KI67,Nucleus,CD163,"Cytoplasm,Nucleus",MHCII,Cytoplasm,NA,NA,NA,NA
mel_3,1,Dye_3,CD4,"Cytoplasm,Nucleus",PD1,"Cytoplasm,Nucleus",CD14,Cytoplasm,B2M,Cytoplasm,NA,NA,NA,NA
mel_3,1,Dye_4,CD8,"Cytoplasm,Nucleus",LAG3-17B4,"Cytoplasm,Nucleus",MRC1,"Cytoplasm,Nucleus",CD25,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_3,1,Dye_5,FOXP3,Nucleus,TIM3,Cytoplasm,TGM2,"Cytoplasm,Nucleus",MHCI,Cytoplasm,NA,NA,NA,NA
mel_3,1,Dye_6,CD45,"Cytoplasm,Nucleus",CD56,"Cytoplasm,Nucleus",CD27,Cytoplasm,PDL1,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_3,1,Dye_7,CD20,"Cytoplasm,Nucleus",B7H3,Cytoplasm,CD68,Cytoplasm,ICOS,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_3,1,Dye_8,SOX10,Nucleus,IDO1,"Cytoplasm,Nucleus",S100B,"Cytoplasm,Nucleus",PCK26,Cytoplasm,NA,NA,NA,NA
mel_4,1,Dye_1,DAPI1,Nucleus,DAPI1,Nucleus,DAPI1,Nucleus,DAPI1,Nucleus,NA,NA,NA,NA
mel_4,1,Dye_2,CD3,"Cytoplasm,Nucleus",KI67,Nucleus,CD163,"Cytoplasm,Nucleus",MHCII,Cytoplasm,NA,NA,NA,NA
mel_4,1,Dye_3,CD4,"Cytoplasm,Nucleus",PD1,"Cytoplasm,Nucleus",CD14,Cytoplasm,B2M,Cytoplasm,NA,NA,NA,NA
mel_4,1,Dye_4,CD8,"Cytoplasm,Nucleus",LAG3-17B4,"Cytoplasm,Nucleus",MRC1,"Cytoplasm,Nucleus",CD25,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_4,1,Dye_5,FOXP3,Nucleus,TIM3,Cytoplasm,TGM2,"Cytoplasm,Nucleus",MHCI,Cytoplasm,NA,NA,NA,NA
mel_4,1,Dye_6,CD45,"Cytoplasm,Nucleus",CD56,"Cytoplasm,Nucleus",CD27,Cytoplasm,PDL1,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_4,1,Dye_7,CD20,"Cytoplasm,Nucleus",B7H3,Cytoplasm,CD68,Cytoplasm,ICOS,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_4,1,Dye_8,SOX10,Nucleus,IDO1,"Cytoplasm,Nucleus",S100B,"Cytoplasm,Nucleus",PCK26,Cytoplasm,NA,NA,NA,NA
mel_5,1,Dye_1,DAPI1,Nucleus,DAPI1,Nucleus,DAPI1,Nucleus,DAPI1,Nucleus,NA,NA,NA,NA
mel_5,1,Dye_2,CD3,"Cytoplasm,Nucleus",KI67,Nucleus,CD163,"Cytoplasm,Nucleus",MHCII,Cytoplasm,NA,NA,NA,NA
mel_5,1,Dye_3,CD4,"Cytoplasm,Nucleus",PD1,"Cytoplasm,Nucleus",CD14,Cytoplasm,B2M,Cytoplasm,NA,NA,NA,NA
