SampleMarker,Sample,Marker,Theta,Median,Mean,Max,MaxN,MinP
mel_18:B2M,mel_18,B2M,6.003355000000001,7.486975,8.797868823969122,69.0481,6.000000000000001,6.00671
mel_18:B7H3,mel_18,B7H3,4.004715,15.913499999999999,17.05047697285913,96.4,4,4.00943
mel_18:CD14,mel_18,CD14,15.003050000000002,4.89655,7.638978209148447,136.38,15.000000000000002,15.0061
mel_18:CD163,mel_18,CD163,9.904182352191544,1.2862124194656963,2.8498710912651157,107.13242430127868,9.79816470438309,10.0102
mel_18:CD20,mel_18,CD20,2.9663483340442665,0.004975136283188405,0.16218460272867,28.521204919838198,2.924886668088533,3.00781
mel_18:CD25,mel_18,CD25,3.9717032897384907,0.34636890001163206,0.6239186105294582,20.070994303501916,3.9315065794769817,4.0119
mel_18:CD27,mel_18,CD27,7.004165,0.537736,2.139398065502733,135.14,7.000000000000001,7.00833
mel_18:CD3,mel_18,CD3,6.999546628632718,0.3118728651669591,2.204302429664334,72.1802163467744,6.989473257265435,7.00962
mel_18:CD4,mel_18,CD4,13.960789799717773,2.50949470228563,4.559266585751643,61.59861498988971,13.905479599435546,14.0161
mel_18:CD45,mel_18,CD45,7.9656797891034214,2.563431958456353,6.987364270190189,76.27027327128225,7.921049578206842,8.01031
mel_18:CD56,mel_18,CD56,5.327233173734814,1.4627888946306948,1.9343446699450575,35.91665889843409,5.639536347469628,5.01493
mel_18:CD68,mel_18,CD68,12.0052,3.184,3.885978597245397,50.53130000000001,12,12.0104
mel_18:CD8,mel_18,CD8,6.959081875000001,0.32142853816817485,1.0295560724853419,36.7218160215188,6.90566375,7.0125
mel_18:DAPI,mel_18,DAPI,28.5625,63.3333,69.66473115410433,217.66099999999997,0,28.5625
mel_18:FOXP3,mel_18,FOXP3,2.00532,0.327586,0.667141500298715,66.1029,2,2.01064
mel_18:ICOS,mel_18,ICOS,5.081306384559713,1.525338068786485,2.3561292006676178,65.62011491737964,6.154412769119425,4.0082
mel_18:IDO1,mel_18,IDO1,6.677704299241983,3.064815472917588,3.233911436082847,59.00704167449377,7.349998598483965,6.00541
mel_18:KI67,mel_18,KI67,8.013045,2.13402,4.129106950362006,167.333,8,8.02609
mel_18:LAG3,mel_18,LAG3,1.958169628347608,0.09090909460051033,0.16569684999762574,33.2169681488136,1.9007092566952162,2.01563
mel_18:MHCI,mel_18,MHCI,8.003815,14.75215,17.650770419405685,104.103,8,8.00763
mel_18:MHCII,mel_18,MHCII,8.00365,0.582348,5.866730646321682,145.27,8,8.0073
mel_18:MRC1,mel_18,MRC1,11.858455958308905,1.7023636356069818,2.9466286249007596,150.33859439383212,11.70861191661781,12.0083
mel_18:PCK26,mel_18,PCK26,9.03814,0,0.060991904152761796,56.3673,8.94828,9.128
mel_18:PD1,mel_18,PD1,1.9908338248483048,0.49599988670805717,0.6176120206499706,11.567575562859387,1.9738576496966096,2.00781
mel_18:PDL1,mel_18,PDL1,0.9071420771754843,0,0.010191913890347069,90.86737860824994,0.7857141543509688,1.02857
mel_18:S100B,mel_18,S100B,39.35531937550961,50.85148119444564,46.06770610958543,206.82363712916336,42.695238751019225,36.0154
mel_18:SOX10,mel_18,SOX10,3.0052650000000005,5.86817,5.561525137005898,116.389,3.0000000000000004,3.01053
mel_18:TGM2,mel_18,TGM2,10.073941166424166,0.8888862980839629,1.09334709750621,47.93234270312405,10.05358233284833,10.0943
mel_18:TIM3,mel_18,TIM3,5.002995,5.30252,7.698818657220944,114.119,5.000000000000001,5.00599
