Sample,Spot,MarkerPos,MarkerNeg,auc,thetaOpt,specOpt,sensOpt,precOpt,accOpt,theta0,thetaOrig,spec0,sens0,prec0,acc0,F1,F0
mel_11,1,SOX10,CD8,0.6055872422400393,1.4841250000000001,0.952054794520548,0.3395163961576681,0.9420955882352942,0.5252711747057466,1.4453023385646027,2.00373,0.9482496194824962,0.34183504471679366,0.9381818181818182,0.5257327486729748,0.49914779644509377,0.5010924981791698
mel_11,1,SOX10,CD4,0.5625332916464022,1.54759,0.9369369369369369,0.31876606683804626,0.9279700654817586,0.4929609969997692,1.4453023385646027,2.00373,0.9295659295659295,0.3258354755784062,0.9218181818181819,0.49596122778675283,0.47452762497010287,0.48148148148148157
mel_11,1,SOX10,MRC1,0.6015969160613154,1.6287699999999998,0.956661316211878,0.2765498652291105,0.9743589743589743,0.3743364874221094,1.4453023385646027,2.00373,0.9390048154093098,0.2862533692722372,0.9654545454545455,0.3801061620124625,0.4308209111904262,0.4415800415800416
mel_11,1,SOX10,CD3,0.6336528538540922,1.44281,0.9621040723981901,0.40311890838206627,0.9391462306993642,0.6312024001846296,1.4453023385646027,2.00373,0.9621040723981901,0.402729044834308,0.9390909090909091,0.6309716132010155,0.5641025641025641,0.5637107776261937
mel_11,2,SOX10,CD4,0.69621084896644,1.38796,0.8923076923076924,0.527555910543131,0.9544797687861272,0.5966332146325671,1.4453023385646027,2.00373,0.8940170940170941,0.5239616613418531,0.9548762736535662,0.5940433797345419,0.6795267489711935,0.6766374419804022
mel_11,2,SOX10,CD8,0.6853934559405805,1.52924,0.9358974358974359,0.5277555910543131,0.9724061810154525,0.6050501780511492,1.4453023385646027,2.00373,0.9282051282051282,0.5319488817891374,0.9694323144104804,0.6069925542246681,0.684183277245664,0.6869520371325426
mel_11,2,SOX10,MRC1,0.7101918773342248,1.2768199999999998,0.916083916083916,0.49464859079557616,0.9829847571783056,0.5336678536743282,1.4453023385646027,2.00373,0.9230769230769231,0.48234034962540134,0.9839883551673945,0.5231466494011007,0.65812270084253,0.64735456068949
mel_11,2,SOX10,CD3,0.7213387126844591,1.328825,0.9473684210526315,0.5820094461142121,0.9713364385524902,0.671900291356426,1.4453023385646027,2.00373,0.9532894736842106,0.5747101760412194,0.9741630276564774,0.6678536743282616,0.7278829373070211,0.7229273561976776
mel_11,3,SOX10,CD4,0.5537423079957962,1.407245,0.9618158676283411,0.3700808625336927,0.9384825700615175,0.5999670347783089,1.4453023385646027,2.00373,0.9618158676283411,0.3684636118598383,0.938229238160604,0.5989780781275754,0.5308331722404793,0.5291271530868976
mel_11,3,SOX10,CD8,0.5440718145927119,1.407245,0.9717271051014137,0.31914414414414416,0.9685577580314423,0.4941486731498269,1.4453023385646027,2.00373,0.9717271051014137,0.31779279279279277,0.9684282772820865,0.49315971649909346,0.4800948670167712,0.4785484144480244
mel_11,3,SOX10,CD163,0.5794042556167986,1.487035,0.974757281553398,0.2577449567723343,0.9909972299168975,0.3186088676446349,1.4453023385646027,2.00373,0.970873786407767,0.25972622478386165,0.9897048730267674,0.32009230262073507,0.4090909090909091,0.4114709659009845
mel_11,3,SOX10,CD3,0.6038017498796451,1.3294549999999998,0.978220052572287,0.41539365452408933,0.9605978260869565,0.6624361298829735,1.4453023385646027,2.00373,0.9793466015771686,0.4118683901292597,0.9622512010981469,0.6609526949068733,0.5799835931091059,0.5768360419666736
mel_11,4,SOX10,CD8,0.5137556092572461,0.3850785,0.7659574468085106,0.34595577097849134,0.6620289855072464,0.5265883977900553,1.4453023385646027,2.00373,0.0293054997992774,0.826113299000303,0.5300291545189504,0.48342541436464087,0.45443692797453245,0.6457494672034099
mel_11,4,SOX10,CD4,0.5844482277742953,0.431283,0.7923958961979481,0.41185006045949213,0.8319491939423547,0.5207182320441989,1.4453023385646027,2.00373,0.036210018105009054,0.8580411124546554,0.6896015549076774,0.6229281767955801,0.5509543836945973,0.7646551724137931
mel_11,4,SOX10,CD14,0.5604648089194451,0.3862855,0.8416988416988417,0.32043868394815556,0.9289017341040462,0.39036602209944754,1.4453023385646027,2.00373,0.03346203346203346,0.8761714855433699,0.8540330417881439,0.763121546961326,0.4765011119347665,0.8649606299212599
mel_11,4,SOX10,CD3,0.5395883189145136,1.27577,0.9718219660582773,0.2266766579243162,0.873015873015873,0.6284530386740331,1.4453023385646027,2.00373,0.978866474543708,0.21768452603971525,0.8979907264296755,0.6281077348066298,0.3599048185603807,0.3504221954161641
mel_11,5,SOX10,CD4,0.5468958816828999,0.5075775,0.7289841565703634,0.40943043884220354,0.64406364749082,0.5548299550504622,1.4453023385646027,2.00373,0.09450139794967381,0.7953625894802365,0.512689336944528,0.47646510050038166,0.5006183997716678,0.623482769136932
mel_11,5,SOX10,CD8,0.5314090825114267,1.31159,0.948447331033083,0.24577505827505827,0.86913961875322,0.5393944533966585,1.4453023385646027,2.00373,0.9577836411609498,0.23513986013986013,0.8858397365532382,0.5371045712831821,0.3831913685406019,0.3716325120884181
mel_11,5,SOX10,CD163,0.5038027869612787,0.46860900000000005,0.77734375,0.29749785938540574,0.9164712778429074,0.34958866932406074,1.4453023385646027,2.00373,0.0609375,0.834078584340215,0.8794262212859866,0.7501484182851327,0.4491848021259785,0.8561523437499999
mel_11,5,SOX10,CD3,0.568066754019198,1.602325,0.9683921209344938,0.2857687905379626,0.8785923753665689,0.664913917394623,1.4453023385646027,2.00373,0.9580088563139411,0.29511636779855016,0.8490669593852909,0.6633025188703249,0.4312652943716712,0.43799546998867495
mel_11,6,SOX10,CD4,0.5391574554123961,2.58892,0.9516908212560387,0.35296143250688705,0.9360730593607306,0.5522628072593614,1.4453023385646027,2.00373,0.8488612836438924,0.4090909090909091,0.8443496801705757,0.5554789800137836,0.5126281570392598,0.5511482254697285
mel_11,6,SOX10,CD8,0.4731021949557862,0.39543549999999994,0.882640586797066,0.27694483734087694,0.9106976744186046,0.3907649896623019,1.4453023385646027,2.00373,0.1271393643031785,0.6314002828854314,0.7576374745417516,0.5366413967378819,0.4247288503253796,0.6887825952785065
mel_11,6,SOX10,MRC1,0.5890757537582935,2.70101,0.9583333333333334,0.26455026455026454,0.9849906191369606,0.3257523546979095,1.4453023385646027,2.00373,0.8645833333333334,0.3413958175862938,0.9630419331911869,0.3875488169078796,0.4170804369414101,0.504092261904762
mel_11,6,SOX10,CD3,0.5925742191342079,1.7837649999999998,0.9484679665738162,0.40966746657524855,0.9416863672182821,0.5874109809326901,1.4453023385646027,2.00373,0.8983286908077994,0.4322934521768941,0.8962331201137171,0.5860326211807948,0.5709507883420927,0.5832562442183163
