SampleMarker,Sample,Marker,Theta,Median,Mean,Max,MaxN,MinP
mel_5:B2M,mel_5,B2M,8.002995,6.02985,7.230768242672228,60.1633,8,8.00599
mel_5:B7H3,mel_5,B7H3,5.002745000000001,8.4,8.816758312001785,75.7979,5.000000000000001,5.00549
mel_5:CD14,mel_5,CD14,11.003050000000002,3.2,5.28617676813475,91.7849,11.000000000000002,11.0061
mel_5:CD163,mel_5,CD163,14.425572491601963,0.022471862778950084,1.212648493181914,91.98919711506656,14.841344983203927,14.0098
mel_5:CD20,mel_5,CD20,10.993355037490492,0.08783782579974264,0.7181638987361837,74.99046748718332,10.978410074980985,11.0083
mel_5:CD25,mel_5,CD25,1.3288482333538727,0.0964464421980174,0.3525113533859425,64.74669580271437,1.6521764667077454,1.00552
mel_5:CD27,mel_5,CD27,9.002275000000001,2.096075,3.625093712595542,116.203,9,9.00455
mel_5:CD3,mel_5,CD3,9.98431898944645,0.3366832814374018,1.8437512517548988,217.56715151143885,9.9615379788929,10.0071
mel_5:CD4,mel_5,CD4,6.9806470588357055,0.06250007374509933,0.9958690320475344,44.0133049795445,6.955884117671411,7.00541
mel_5:CD45,mel_5,CD45,15.964396000244616,4.5019454856649705,7.825931274291841,81.88095226103478,15.919992000489229,16.0088
mel_5:CD56,mel_5,CD56,4.9740420138587025,0.02420333247103789,0.46412453140886967,93.329657125668,4.941464027717405,5.00662
mel_5:CD68,mel_5,CD68,4.00379,0.323529,0.7455802154689073,145.871,4,4.00758
mel_5:CD8,mel_5,CD8,11.96905430947502,1.3189647981777846,1.7653688361455184,61.407257064871516,11.929608618950041,12.0085
mel_5:DAPI,mel_5,DAPI,28.5652,85.6333,91.35981039574827,242.055,0,28.5652
mel_5:FOXP3,mel_5,FOXP3,1.00221,0.0617284,0.21772298127841808,49.8,1,1.00442
mel_5:ICOS,mel_5,ICOS,1.502875,0.3582092939193741,0.6251042192938341,84.8403988645474,2,1.00575
mel_5:IDO1,mel_5,IDO1,6.00171,1.4621689089802585,1.8136511441700316,53.97039759658132,6,6.00342
mel_5:KI67,mel_5,KI67,10.00465,2.29592,3.919639750392036,179.186,10,10.0093
mel_5:LAG3,mel_5,LAG3,1.341797148449313,0.2578945978731002,0.31762465281071106,19.4093925184693,1.6769242968986258,1.00667
mel_5:MHCI,mel_5,MHCI,11.0038,4.3727,6.684623895830202,93.5341,11,11.0076
mel_5:MHCII,mel_5,MHCII,9.003730000000001,0.7999999999999999,4.071289842952584,125.556,9,9.00746
mel_5:MRC1,mel_5,MRC1,14.947822050094814,1.5252533917834934,2.452504053530357,139.52259075304727,14.88824410018963,15.0074
mel_5:PCK26,mel_5,PCK26,9.023019999999999,0,0.003464520791224909,16.3649,8.89157,9.15447
mel_5:PD1,mel_5,PD1,0.9999581605185032,0.0885101710950931,0.15673081499022484,39.578539367859655,0.9935063210370063,1.00641
mel_5:PDL1,mel_5,PDL1,0.9782610279066105,0.010309268045224404,0.02453680600914591,15.577987104994234,0.9456520558132211,1.01087
mel_5:S100B,mel_5,S100B,20.00275,23.32637459592145,24.71949296087811,230.88628680140505,20,20.0055
mel_5:SOX10,mel_5,SOX10,2.00213,2.28125,5.203036236649087,40.4462,2,2.00426
mel_5:TGM2,mel_5,TGM2,5.841739792569412,3.4733325007474365,3.80899873339645,47.46493140845683,6.677419585138825,5.00606
mel_5:TIM3,mel_5,TIM3,8.00305,4.56489,6.209173373123885,159.714,8,8.0061
