SampleMarker,Sample,Marker,Theta,Median,Mean,Max,MaxN,MinP
mel_7:B2M,mel_7,B2M,1.0024899999999999,1.98837,3.181920438536948,61.3636,1,1.00498
mel_7:B7H3,mel_7,B7H3,2.00259,1.5389600000000003,3.287283238834262,91.6316,2,2.00518
mel_7:CD14,mel_7,CD14,9.00289,4.54688,6.7425335784769604,103.163,9,9.00578
mel_7:CD163,mel_7,CD163,4.525288000683139,0.8417517700772439,1.84873704551377,81.21543315828596,5.045116001366276,4.00546
mel_7:CD20,mel_7,CD20,6.996047056898163,1.4521300079307917,2.0129732576603083,38.81062195008416,6.988304113796327,7.00379
mel_7:CD25,mel_7,CD25,1.002675,0.02727270099117106,0.18398699842711694,39.21668421518395,1,1.00535
mel_7:CD27,mel_7,CD27,8.00345,3.0875,4.430740631340538,127.583,8,8.0069
mel_7:CD3,mel_7,CD3,7.296422987381822,0.4353451635890992,2.0958715646406314,56.15947335008624,7.5858559747636445,7.00699
mel_7:CD4,mel_7,CD4,10.994546012309396,3.058824063297614,4.583840508296375,40.82604344573243,10.981592024618793,11.0075
mel_7:CD45,mel_7,CD45,8.990744866860648,3.7664673769554176,6.110012372825273,58.13580463409996,8.975609733721297,9.00588
mel_7:CD56,mel_7,CD56,6.784459796718455,0.055920879587019745,0.5313545212455589,142.26486555210658,8.559569593436908,5.00935
mel_7:CD68,mel_7,CD68,6.00276,2,2.9964766798962534,177.417,6.000000000000001,6.00552
mel_7:CD8,mel_7,CD8,7.988220438746737,1.2643978724443938,1.9552673587193772,56.53431607228203,7.967740877493475,8.0087
mel_7:DAPI,mel_7,DAPI,28.5636,89.7876,96.12486443507329,248.29499999999996,0,28.5636
mel_7:FOXP3,mel_7,FOXP3,3.0046100000000004,0.871287,1.076544403493841,48.5044,3.0000000000000004,3.00922
mel_7:ICOS,mel_7,ICOS,4.991162912300889,1.0230435966404938,1.5474751579598423,105.49637079688054,4.9773458246017785,5.00498
mel_7:IDO1,mel_7,IDO1,6.00397,2.37671,2.5248044721243894,169.04965262345007,6,6.00794
mel_7:KI67,mel_7,KI67,10.00295,2.75,6.865004470396824,237.049,10,10.0059
mel_7:LAG3,mel_7,LAG3,3.0014400000000006,1.394289225783477,1.4966687035396655,32.560817147095975,3.0000000000000004,3.00288
mel_7:MHCI,mel_7,MHCI,5.002035,3.80682,6.454105672828609,114.939,5.000000000000001,5.00407
mel_7:MHCII,mel_7,MHCII,9.0034,0.404494,3.229337187225051,196.483,9,9.0068
mel_7:MRC1,mel_7,MRC1,4.506649429132173,1.2315450328343043,1.8245288754529996,62.26922161251755,5.008398858264345,4.0049
mel_7:PCK26,mel_7,PCK26,10.05495,0,0.0013415330474529272,12.7778,8.368,11.7419
mel_7:PD1,mel_7,PD1,2.0018849999999997,0.6214686575530881,0.7397202308568601,17.7752646805531,2,2.00377
mel_7:PDL1,mel_7,PDL1,0.9744471753372843,0,0.005953559729516688,22.01406700646483,0.9381443506745686,1.01075
mel_7:S100B,mel_7,S100B,4.001945,5.236747114994582,5.902816508644504,174.68336338436248,4,4.00389
mel_7:SOX10,mel_7,SOX10,5.002875,7.02703,7.875412148050304,68.9423,5.000000000000001,5.00575
mel_7:TGM2,mel_7,TGM2,3.002465,1.1652931935866613,1.5979845604000966,49.16581495879011,3,3.00493
mel_7:TIM3,mel_7,TIM3,11.0028,5.856,7.42177171208474,100.72699999999999,11.000000000000002,11.0056
