SampleMarker,Sample,Marker,Theta,Median,Mean,Max,MaxN,MinP
mel_14:B2M,mel_14,B2M,7.00281,8.53247,9.205004543171974,77.7073,7.000000000000001,7.00562
mel_14:B7H3,mel_14,B7H3,10.003250000000001,16.5971,19.478939617261712,120.959,10.000000000000002,10.0065
mel_14:CD14,mel_14,CD14,13.0043,2.061795,3.9807833731172937,82.7143,13.000000000000002,13.0086
mel_14:CD163,mel_14,CD163,12.984274811503905,2.260563525425432,5.520600884865348,150.29373731528221,12.961249623007811,13.007299999999999
mel_14:CD20,mel_14,CD20,6.659000622376169,1.8994687710818496,2.4480322888194324,53.21361378807284,7.310811244752339,6.00719
mel_14:CD25,mel_14,CD25,8.593709669495968,3.0000001446002615,3.2217029739347915,64.36766864465089,9.179549338991936,8.00787
mel_14:CD27,mel_14,CD27,5.004065000000001,4.58261,6.599648292912472,78.8478,5.000000000000001,5.00813
mel_14:CD3,mel_14,CD3,5.991968138577821,4.48655796323463,7.138049877878423,151.15768795931334,5.977526277155642,6.00641
mel_14:CD4,mel_14,CD4,4.99702538251213,2.186811243319402,3.567399592224114,89.44194971403998,4.9873407650242605,5.00671
mel_14:CD45,mel_14,CD45,20.36872024550547,19.56962037776295,19.68508502101223,140.45501170763353,21.72914049101094,19.0083
mel_14:CD56,mel_14,CD56,9.429731455972778,2.746475340398566,3.0294010009963515,142.05188582175575,9.848472911945557,9.01099
mel_14:CD68,mel_14,CD68,9.004,1.19101,2.215765177703748,93.1909,9,9.008
mel_14:CD8,mel_14,CD8,17.738620308681135,7.2803517432278255,12.861119522202335,75.52495510033962,18.471440617362273,17.0058
mel_14:DAPI,mel_14,DAPI,28.5833,115.41499999999999,118.18911167578,233.456,0,28.5833
mel_14:FOXP3,mel_14,FOXP3,3.0060249999999997,0.9365079999999999,1.069389295022209,55.4175,3,3.0120499999999995
mel_14:ICOS,mel_14,ICOS,4.0032700000000006,1.6192543693528838,2.0523184117341846,102.39175072319867,5,3.00654
mel_14:IDO1,mel_14,IDO1,11.947506586089286,5.7804851980043885,5.847261599940065,73.54283316979415,11.887813172178571,12.0072
mel_14:KI67,mel_14,KI67,5.006175,1.37615,1.7800970019376159,184.069,5,5.01235
mel_14:LAG3,mel_14,LAG3,4.960030065723842,0.045454560462661095,0.1871701421793549,49.727296697505714,4.910890131447683,5.00917
mel_14:MHCI,mel_14,MHCI,10.00245,11.2014,12.064194587268146,82.9444,10.000000000000002,10.0049
mel_14:MHCII,mel_14,MHCII,8.00338,2.0382800000000003,4.8203977598973795,158.143,8,8.00676
mel_14:MRC1,mel_14,MRC1,15.94259196814978,2.9564131719044138,5.511196595389524,129.7212681766307,15.875883936299559,16.0093
mel_14:PCK26,mel_14,PCK26,8.99573,0,0.6316704148596244,101.3,8.94845,9.04301
mel_14:PD1,mel_14,PD1,1.00373,0.01999996165913406,0.08497624659112647,97.86212966023629,1,1.00746
mel_14:PDL1,mel_14,PDL1,0.9936357044361297,0,0.05279380748806213,16.38127932674352,0.9816514088722594,1.00562
mel_14:S100B,mel_14,S100B,5.971671292910491,0.627585895479029,0.9919583794004808,179.76872362331503,5.934642585820981,6.0087
mel_14:SOX10,mel_14,SOX10,7.98206,2.11765,2.095657319224831,22.0377,7.95313,8.01099
mel_14:TGM2,mel_14,TGM2,15.953379826791732,2.5681155223504386,3.790998826816325,119.17037150980188,15.899159653583466,16.0076
mel_14:TIM3,mel_14,TIM3,17.0034,9.14286,10.796662240200494,222.15699999999998,17,17.0068
