SampleMarker,Sample,Marker,Theta,Median,Mean,Max,MaxN,MinP
mel_9:B2M,mel_9,B2M,3.0022850000000005,0.828571,1.8889300017211457,49.8687,3.0000000000000004,3.00457
mel_9:B7H3,mel_9,B7H3,8.003165,13.234,13.692682840828768,119.259,8,8.00633
mel_9:CD14,mel_9,CD14,12.003050000000002,3.27711,5.986771559698152,102.66700000000002,12.000000000000002,12.0061
mel_9:CD163,mel_9,CD163,7.994796651947912,1.3724487551718316,3.691789602121973,86.86952986328046,7.9828333038958235,8.00676
mel_9:CD20,mel_9,CD20,6.848483091287334,0.7999996486694922,0.8764542344890242,42.1046464665133,6.666666182574668,7.0303
mel_9:CD25,mel_9,CD25,2.994946888345912,0.56739463641701815,0.7510073386560094,30.41341730968522,2.9864837766918235,3.00341
mel_9:CD27,mel_9,CD27,11.003,3.6470599999999997,5.377980305453761,175.5,11.000000000000002,11.006
mel_9:CD3,mel_9,CD3,5.981606674611353,0.3869349446037069,2.263887387137634,78.7131138130963,5.9583333492227055,6.00488
mel_9:CD4,mel_9,CD4,5.997528890057319,1.2282614102985496,2.5408596084945856,45.14770848607991,5.988887780114639,6.00617
mel_9:CD45,mel_9,CD45,16.0031,4.382355324461349,9.007530348483282,103.90749290058427,16,16.0062
mel_9:CD56,mel_9,CD56,8.997370925935913,4.703884724470486,4.907251773863407,129.40732419513142,8.987651851871826,9.00709
mel_9:CD68,mel_9,CD68,10.0028,1.5641,3.027344381650465,151.4,10,10.0056
mel_9:CD8,mel_9,CD8,6.987881661318767,0.7565804999310295,1.8749984054320956,72.64594161644371,6.967293322637534,7.00847
mel_9:DAPI,mel_9,DAPI,28.5714,78.2308,84.369206670564,231.82600000000002,0,28.5714
mel_9:FOXP3,mel_9,FOXP3,3.006755,0.375,0.6366402160634987,71.0909,3.0000000000000004,3.0135099999999997
mel_9:ICOS,mel_9,ICOS,3.002905,1.326530165549245,1.9284961340735907,112.9576504129311,3.0000000000000004,3.00581
mel_9:IDO1,mel_9,IDO1,6.003164999999999,3.2058825264757145,3.4092626107239377,121.63958232422256,5.999999999999999,6.00633
mel_9:KI67,mel_9,KI67,8.00137,2.02326,4.857659153524859,190.9,8,8.00274
mel_9:LAG3,mel_9,LAG3,2.002875,0.4740258284703969,0.6212235222119693,70.88967969356565,2,2.00575
mel_9:MHCI,mel_9,MHCI,11.0028,6.5814,10.13625033122624,128.655,11.000000000000002,11.0056
mel_9:MHCII,mel_9,MHCII,6.00281,0.0882353,2.5291251134406503,115.88200000000002,6.000000000000001,6.00562
mel_9:MRC1,mel_9,MRC1,10.923395793361433,0.9099997075548346,1.5111857174484682,112.22225774934236,10.839991586722867,11.0068
mel_9:PCK26,mel_9,PCK26,8.875,0,0.07980012214127828,62.9038,8.66667,9.08333
mel_9:PD1,mel_9,PD1,1.0017399999999999,0.3218393247715746,0.40196892023001324,124.35214919470927,1,1.00348
mel_9:PDL1,mel_9,PDL1,1.002745,0,0.0641449973474341,15.468717003943457,1,1.00549
mel_9:S100B,mel_9,S100B,11.002500000000001,13.739324896438545,14.81579916998839,196.10770932806034,11,11.005
mel_9:SOX10,mel_9,SOX10,8.002825,8.6642,8.719925257232616,32.7609,8,8.00565
mel_9:TGM2,mel_9,TGM2,8.990684972699118,1.6161632405601938,2.149749883826724,76.09857670261937,8.974999945398237,9.00637
mel_9:TIM3,mel_9,TIM3,7.002305,5.37143,6.815454956643004,121.413,7.000000000000001,7.00461
