Sample,Spot,MarkerPos,MarkerNeg,auc,thetaOpt,specOpt,sensOpt,precOpt,accOpt,theta0,thetaOrig,spec0,sens0,prec0,acc0,F1,F0
mel_17,1,SOX10,CD14,0.6740314474662371,2.038405,0.9678571428571429,0.4473113616652212,0.9913503123498318,0.5036736272235112,1.821034765112841,3.008195,0.9053571428571429,0.4757155247181266,0.9764129951045839,0.5222351121423047,0.6164649633945913,0.6397434028284006
mel_17,1,SOX10,CD3,0.7442013294660478,2.281315,0.9886972040452112,0.5757662560870811,0.9906357811729917,0.7099767981438515,1.821034765112841,3.008195,0.9155264723378941,0.6029790890862217,0.9368046283934134,0.7045630317092034,0.7282608695652174,0.7337051237364934
mel_17,2,SOX10,CD4,0.7492578981710474,2.232145,0.9972047519217331,0.5366347569955817,0.9986296676944159,0.6326679294769051,1.821034765112841,3.008195,0.9776380153738644,0.5476804123711341,0.9893581642833389,0.6373306134343582,0.6981199856304634,0.705059841213414
mel_17,2,SOX10,CD14,0.6449512330780767,2.88067,0.9861111111111112,0.4622687047465808,0.9968771686328938,0.5117295643304677,1.821034765112841,3.008195,0.9521604938271605,0.47884151246983103,0.9896907216494846,0.5235319830977706,0.631636803341761,0.6454131424853611
mel_17,2,SOX10,CD8,0.7273392527114313,1.9030049999999998,0.9821428571428571,0.47494797502801345,0.996306245802552,0.5204720967506922,1.821034765112841,3.008195,0.9707792207792207,0.47846966543941094,0.9940139674093781,0.5226577298557482,0.6432520325203251,0.6459909228441756
mel_17,2,SOX10,CD3,0.7930260017343334,1.722195,0.9776357827476039,0.5721026802567006,0.9885844748858448,0.6645781728107242,1.821034765112841,3.008195,0.9827476038338658,0.5624764061910155,0.9910209511140672,0.6583126912428967,0.7247728359636537,0.7176399759181216
mel_17,3,SOX10,CD4,0.6504522629524834,2.0540950000000002,0.9939467312348669,0.38896982310093653,0.9946780202235231,0.5437509679417686,1.821034765112841,3.008195,0.9800242130750605,0.3979188345473465,0.9830334190231362,0.5468483816013628,0.559245960502693,0.5665185185185184
mel_17,3,SOX10,CD14,0.5674892290591987,2.251265,0.9908151549942594,0.33029001074113856,0.995682676740421,0.4193898095090599,1.821034765112841,3.008195,0.9552238805970149,0.34121016827783746,0.979948586118252,0.4240359299984513,0.49603441322758435,0.5061744788208737
mel_17,3,SOX10,CD163,0.4551664603905711,0.7181295000000001,0.8753315649867374,0.20936349289847447,0.9270186335403726,0.28713024624438593,1.821034765112841,3.008195,0.05968169761273209,0.6668420129756268,0.842863475177305,0.5959423881059316,0.3415820340437705,0.744591287322565
mel_17,3,SOX10,CD3,0.7090042333694013,1.4902950000000001,0.9467580390089615,0.4682017543859649,0.9548300536672629,0.6087966547932476,1.821034765112841,3.008195,0.9878755930416447,0.4214912280701754,0.9881748071979435,0.5878891125909865,0.6283107710417893,0.5909300538047655
mel_17,4,SOX10,CD4,0.8133244461065458,2.1875,0.9949794614331355,0.6449714093508241,0.9971398855954238,0.7392159272459137,1.821034765112841,3.008195,0.9840255591054313,0.6496804574503868,0.9910210364289379,0.7397075089099177,0.7832924836601308,0.7848435595286469
mel_17,4,SOX10,CD8,0.7773121797072448,2.30369,0.9831932773109243,0.5406170393433343,0.9953100573215217,0.598869362172791,1.821034765112841,3.008195,0.9673202614379085,0.546702519105576,0.9910210364289379,0.6020646429888166,0.7006603081438005,0.7046698285297337
mel_17,4,SOX10,CD163,0.6590152036771685,3.068765,0.9324137931034483,0.5058014031300594,0.9870984728804634,0.5438122158043505,1.821034765112841,3.008195,0.9020689655172414,0.5163248785752833,0.9817855310415597,0.5506943591004055,0.6688670829616414,0.6767462422634837
mel_17,4,SOX10,CD3,0.8506277381887135,2.30602,0.9916798732171157,0.6798503474078034,0.9945269741985927,0.7765761337102126,1.821034765112841,3.008195,0.9805863708399366,0.6857295563869589,0.987429451000513,0.7771906107902176,0.8076190476190477,0.8093786142361475
mel_17,5,SOX10,CD4,0.5977503117038001,0.573431,0.7434108527131783,0.41708291708291706,0.7161234991423671,0.5449574726609964,1.821034765112841,3.008195,0.004651162790697674,0.985014985014985,0.6056511056511057,0.6008505467800729,0.5271464646464645,0.7500950931913275
mel_17,5,SOX10,MRC1,0.6009062776304156,0.717465,0.6330128205128205,0.5341079460269865,0.8615477629987908,0.5528554070473876,1.821034765112841,3.008195,0.00641025641025641,0.9880059970014993,0.8095823095823096,0.8019441069258809,0.6594169366034244,0.8899392302498312
mel_17,5,SOX10,CD8,0.5606311123504089,0.646838,0.6744186046511628,0.44749359678009515,0.8704626334519573,0.48602673147023084,1.821034765112841,3.008195,0,0.986827661909989,0.8283169533169533,0.8192588092345079,0.5911068148864186,0.9006511938554016
mel_17,5,SOX10,CD3,0.5434145113257196,0.5771215000000001,0.6984993178717599,0.4014238773274918,0.6238297872340426,0.5337181044957473,1.821034765112841,3.008195,0.0020463847203274215,0.9819277108433735,0.5506756756756757,0.5455650060753341,0.48850383205598136,0.7056277056277056
mel_17,6,SOX10,CD4,0.5160307750520275,0.224314,0.8673036093418259,0.22524752475247525,0.6453900709219859,0.5350922131147541,1.821034765112841,3.008195,0.005307855626326964,0.9747524752475247,0.512360135310955,0.5069159836065574,0.33394495412844044,0.6716697936210131
mel_17,6,SOX10,CD8,0.4986690521906092,0.9593105,0.9480712166172107,0.10959752321981424,0.910025706940874,0.2543545081967213,1.821034765112841,3.008195,1,0.01888544891640867,1,0.1882684426229508,0.1956341530809616,0.037070799149194776
mel_17,6,SOX10,CD20,0.5279335196080844,0.287775,0.8537414965986394,0.27864897466827504,0.9148514851485149,0.36526639344262296,1.821034765112841,3.008195,0.00510204081632653,0.982509047044632,0.8477751756440282,0.835297131147541,0.42718446601941745,0.9101829864506217
mel_17,6,SOX10,CD3,0.5585492898483048,0.716824,0.8469122989102231,0.29742033383915023,0.665911664779162,0.5686475409836066,1.821034765112841,3.008195,0.9979242345614946,0.028831562974203338,0.9344262295081968,0.507172131147541,0.41118881118881123,0.05593719332679097
