SampleMarker,Sample,Marker,Theta,Median,Mean,Max,MaxN,MinP
mel_19:B2M,mel_19,B2M,7.003495000000001,8.009475,8.747493358303805,50.5306,7.000000000000001,7.00699
mel_19:B7H3,mel_19,B7H3,12.003600000000002,15.5353,16.964919200469883,103.508,12.000000000000002,12.007200000000001
mel_19:CD14,mel_19,CD14,25.0051,13.626249999999999,18.960462707109844,133.533,25,25.0102
mel_19:CD163,mel_19,CD163,14.99443401585472,4.215607036086826,8.632271821319495,106.04767186858214,14.979168031709438,15.009700000000002
mel_19:CD20,mel_19,CD20,8.185722332072599,3.2072536405876106,3.813512125694163,78.18390408027327,8.361444664145198,8.01
mel_19:CD25,mel_19,CD25,15.186048007239782,5.652777823962979,6.091622569014648,54.32969764235806,16.361096014479564,14.011
mel_19:CD27,mel_19,CD27,10.00395,7.007065,8.136641150939763,131.4,10,10.0079
mel_19:CD3,mel_19,CD3,5.990866041082002,2.488571599325323,5.378881120647011,100.0365958590669,5.970372082164005,6.01136
mel_19:CD4,mel_19,CD4,11.546632096575642,4.256914907128195,5.950909176239388,43,12.083364193151283,11.0099
mel_19:CD45,mel_19,CD45,12.96623737800107,16.589253731826666,18.346388546961187,93.08333800886443,12.91917475600214,13.0133
mel_19:CD56,mel_19,CD56,3.308253799863258,0.08860780249960373,0.5392297137104777,54.88233279762373,3.6086975997265163,3.00781
mel_19:CD68,mel_19,CD68,14.0058,4.579775,6.971652825839624,129.967,14,14.0116
mel_19:CD8,mel_19,CD8,12.902125990842492,1.72740169814068,5.1445789727423366,62.714306174349034,12.779851981684983,13.0244
mel_19:DAPI,mel_19,DAPI,28.6154,94.95385,98.34118040748729,239.97299999999998,0,28.6154
mel_19:FOXP3,mel_19,FOXP3,3.0100000000000002,0.40579699999999996,0.9328587937459559,64.4179,3.0000000000000004,3.02
mel_19:ICOS,mel_19,ICOS,5.00303,1.605554629458166,2.238435013104891,51.376606924887604,5,5.00606
mel_19:IDO1,mel_19,IDO1,6.996831594570267,2.848486559478026,3.1410769341491425,27.7813,6.9772731891405355,7.0163899999999995
mel_19:KI67,mel_19,KI67,9.0073,1.94118,3.206894730322755,210.288,9,9.0146
mel_19:LAG3,mel_19,LAG3,1.9688450459615385,0.4524885857693768,0.691258385896565,21.87384858199753,1.924530091923077,2.01316
mel_19:MHCI,mel_19,MHCI,16.003,14.45505,16.047531511261745,137.184,16,16.006
mel_19:MHCII,mel_19,MHCII,17.005699999999997,5.347294999999999,8.863952409624865,143.755,17,17.0114
mel_19:MRC1,mel_19,MRC1,17.980047561729187,4.903413068055531,8.900323639073251,111.14409848543396,17.95119512345837,18.0089
mel_19:PCK26,mel_19,PCK26,8.98968,0,0.20352003795447543,87.8261,8.85714,9.122219999999999
mel_19:PD1,mel_19,PD1,1.002975,0.28309079611265875,0.43988416673218184,12.8243260649191,1,1.00595
mel_19:PDL1,mel_19,PDL1,1.0007659044990942,0.1166155045537931,0.3651220500803423,10.084051113933468,0.9940118089981883,1.00752
mel_19:S100B,mel_19,S100B,9.69620455052403,0.6229510379991154,0.8692568880690879,150.62991128893924,9.37810910104806,10.0143
mel_19:SOX10,mel_19,SOX10,8.886365,1.022345,1.0684246830765676,11.274999999999999,8.5,9.27273
mel_19:TGM2,mel_19,TGM2,19.900758017008243,2.8877572106778633,6.297180235056537,188.12644945398245,19.78321603401649,20.0183
mel_19:TIM3,mel_19,TIM3,13.0031,13.633,16.045463622238483,221.63499999999996,13.000000000000002,13.0062
