SampleMarker,Sample,Marker,Theta,Median,Mean,Max,MaxN,MinP
mel_20:B2M,mel_20,B2M,6.003625,8.05155,8.561488009521707,69.4516,6.000000000000001,6.00725
mel_20:B7H3,mel_20,B7H3,11.00395,14.0851,14.94292878072839,75.6,11.000000000000002,11.0079
mel_20:CD14,mel_20,CD14,18.003500000000003,11.9333,15.032745782156463,119.026,18,18.007
mel_20:CD163,mel_20,CD163,14.984445150195745,4.085713530163036,7.5474859126489005,92.70275439509196,14.959690300391488,15.009200000000002
mel_20:CD20,mel_20,CD20,6.958407616846492,1.8275858787733739,2.173163269078327,71.49382610568581,6.904765233692984,7.01205
mel_20:CD25,mel_20,CD25,4.986513120118852,0.11467878164420928,0.6614517171564842,54.18518643737702,4.961536240237703,5.01149
mel_20:CD27,mel_20,CD27,10.004650000000002,5.57143,6.864143444813117,124.67000000000002,10.000000000000002,10.0093
mel_20:CD3,mel_20,CD3,5.35216697238228,5.08511,5.767497160718545,104.54633839991935,5.69117394476456,5.01316
mel_20:CD4,mel_20,CD4,11.964601092910087,5.67816328460879,6.88798195452725,35.36433297410047,11.923502185820174,12.0057
mel_20:CD45,mel_20,CD45,12.992221422068742,17.39687332364902,17.478905311162677,85.2924992032967,12.976142844137486,13.008299999999998
mel_20:CD56,mel_20,CD56,4.2363839593231205,0.5987258272953563,1.2713669659533804,86.66662113893204,4.466667918646242,4.0061
mel_20:CD68,mel_20,CD68,7.003760000000001,2.69091,3.683987175481698,88.7529,7.000000000000001,7.00752
mel_20:CD8,mel_20,CD8,10.684542631433189,1.8543653902016386,4.88234129302556,56.03360369517499,11.358585262866379,10.0105
mel_20:DAPI,mel_20,DAPI,28.5652,74.9,75.44785869633229,205.17,0,28.5652
mel_20:FOXP3,mel_20,FOXP3,2.00338,0.151515,0.7286937471926241,64.12,2,2.00676
mel_20:ICOS,mel_20,ICOS,4.305641609197604,1.8773591836516033,2.4477378262492455,55.79725265248555,4.6052632183952085,4.00602
mel_20:IDO1,mel_20,IDO1,5.212434257548281,1.6289260415750915,1.7086137894358038,14.5200126212303,5.393938515096562,5.03093
mel_20:KI67,mel_20,KI67,8.996794999999999,1.6,3.561099869397302,216.529,8.97692,9.01667
mel_20:LAG3,mel_20,LAG3,2.1792284169229155,0.4703201172468908,0.5804976139642577,58.55355790302059,2.348656833845831,2.0098
mel_20:MHCI,mel_20,MHCI,11.003900000000002,13.1412,14.041860617383648,131.274,11.000000000000002,11.0078
mel_20:MHCII,mel_20,MHCII,9.004100000000001,4.98438,7.371420162156462,135.755,9,9.0082
mel_20:MRC1,mel_20,MRC1,13.947175720512803,4.628482204560352,7.581337587891395,85.0625,13.881851441025606,14.012499999999998
mel_20:PCK26,mel_20,PCK26,9.05165,0,0.05923398770330702,50.1758,8.92683,9.17647
mel_20:PD1,mel_20,PD1,1.003545,0.3564357983738431,0.4653167209687373,10.1389,1,1.00709
mel_20:PDL1,mel_20,PDL1,1.00255,0.23214295996921508,0.39926369426947617,13.727287146664803,1,1.0051
mel_20:S100B,mel_20,S100B,11.457677567277152,0.5494501123683958,0.9967414093825521,139.09718051609144,12.883755134554303,10.0316
mel_20:SOX10,mel_20,SOX10,9.05594,0.427184,0.4863968533230277,10.5185,8.97674,9.13514
mel_20:TGM2,mel_20,TGM2,14.919749189305245,1.5688046452186877,5.988102283529921,114.0160638392335,14.830498378610491,15.008999999999999
mel_20:TIM3,mel_20,TIM3,12.002600000000001,11.7263,13.531384197340032,109.034,12.000000000000002,12.0052
