SampleMarker,Sample,Marker,Theta,Median,Mean,Max,MaxN,MinP
mel_8:B2M,mel_8,B2M,2.0025250000000003,0.553191,1.1459276431150398,36.1828,2,2.00505
mel_8:B7H3,mel_8,B7H3,2.00284,4.10938,5.465196982547548,101.659,2,2.00568
mel_8:CD14,mel_8,CD14,14.004,4.64948,6.578056243109652,167.435,14,14.008
mel_8:CD163,mel_8,CD163,3.998100636797902,0.1465968264302028,1.0971464472015737,83.05183590427218,3.990611273595804,4.00559
mel_8:CD20,mel_8,CD20,1.9910997620502464,0,0.010829343385346931,62.822198369648746,1.9768795241004926,2.00532
mel_8:CD25,mel_8,CD25,1.001805,0.2560000325897797,0.9546202310233735,84.75000436813556,1,1.00361
mel_8:CD27,mel_8,CD27,6.003425,0.9856120000000002,1.4361265992619954,143.368,6.000000000000001,6.00685
mel_8:CD3,mel_8,CD3,5.990422830748004,0.44230758436765566,0.644521400951135,155.1385529736623,5.972975661496009,6.007869999999999
mel_8:CD4,mel_8,CD4,4.00254,1.6124984793218038,1.8698984300193668,23.98664862491118,4,4.00508
mel_8:CD45,mel_8,CD45,5.002525,2.796513955668503,3.431461386830971,49.18606002559929,5,5.00505
mel_8:CD56,mel_8,CD56,2.8915924830815616,0.25179876381931654,0.778239131139714,65.28814297017867,3.777774966163123,2.00541
mel_8:CD68,mel_8,CD68,9.003354999999999,2.50633,2.9022754519353966,237.464,9,9.00671
mel_8:CD8,mel_8,CD8,4.997347011199919,1.301675814644717,1.3830074699981092,32.00368339364236,4.983334022399838,5.01136
mel_8:DAPI,mel_8,DAPI,28.5625,62.3333,63.680390687208096,214.066,0,28.5625
mel_8:FOXP3,mel_8,FOXP3,3.0081949999999997,0.386364,0.44644877112011655,37.280499999999996,3,3.01639
mel_8:ICOS,mel_8,ICOS,2.002575,0.9118636390982194,0.9398627648885326,61.649246969323976,2,2.00515
mel_8:IDO1,mel_8,IDO1,6.921848799387775,3.161905500644821,3.191600911388268,45.75755605332361,6.83823759877555,7.00546
mel_8:KI67,mel_8,KI67,6.00179,3.03226,4.452412872959222,137.326,6.000000000000001,6.0035799999999995
mel_8:LAG3,mel_8,LAG3,3.0029250000000003,1.3962293291644665,1.652931788443225,38.43443414283088,3.0000000000000004,3.00585
mel_8:MHCI,mel_8,MHCI,6.002515000000001,5.07059,5.739321511936952,70.4458,6.000000000000001,6.00503
mel_8:MHCII,mel_8,MHCII,2.0029950000000003,0.0365854,0.7346219665945296,82.3485,2,2.00599
mel_8:MRC1,mel_8,MRC1,7.992754195843345,1.2891572288864954,1.752855421738914,96.94823194378662,7.978608391686689,8.0069
mel_8:PCK26,mel_8,PCK26,9.005265,0.0238095,0.14665778755689757,56.9467,9,9.01053
mel_8:PD1,mel_8,PD1,3.000640573774776,1.1839050359158372,1.1629615012732974,15.6053,2.993591147549552,3.00769
mel_8:PDL1,mel_8,PDL1,0.9557169620145984,0,0.0063679985527647495,26.176875539232,0.9021739240291969,1.00926
mel_8:S100B,mel_8,S100B,9.003185,18.46397925004493,18.32146311122938,125.18261802458393,9,9.00637
mel_8:SOX10,mel_8,SOX10,8.00281,9.90789,9.739932247003035,103.48,8,8.00562
mel_8:TGM2,mel_8,TGM2,4.998943569027584,1.1184218526061285,1.3468049814439529,97.92102584858537,4.990477138055168,5.00741
mel_8:TIM3,mel_8,TIM3,7.002795000000001,8.14667,8.671599460556486,166.289,7.000000000000001,7.00559
