SampleMarker,Sample,Marker,Theta,Median,Mean,Max,MaxN,MinP
mel_13:B2M,mel_13,B2M,8.003205000000001,9.66667,9.897717954424532,59.3514,8,8.00641
mel_13:B7H3,mel_13,B7H3,6.003105000000001,6.63101,7.311590655140506,69.1667,6.000000000000001,6.00621
mel_13:CD14,mel_13,CD14,8.002675,2.49603,3.7361346437187946,59.4494,8,8.00535
mel_13:CD163,mel_13,CD163,20.942759744318607,4.747477087398352,7.760119470649257,118.24547182692307,20.87741948863722,21.0081
mel_13:CD20,mel_13,CD20,7.5676360840223715,1.3646393995868373,1.868579238877805,72.02803296156588,9.129022168044743,6.006249999999999
mel_13:CD25,mel_13,CD25,8.950703571428571,1.273584213377531,1.7096979919123478,73.09860688754533,8.892857142857142,9.00855
mel_13:CD27,mel_13,CD27,9.003595,8.60377,9.63646713046552,151.49,9,9.00719
mel_13:CD3,mel_13,CD3,11.381497300660492,14.663758001278225,14.075632546882723,136.363908975094,11.757894601320984,11.0051
mel_13:CD4,mel_13,CD4,9.572205429160665,5.224677722672308,6.192119064260613,57.89301373430859,11.138890858321329,8.00552
mel_13:CD45,mel_13,CD45,26.994362715587762,33.71648868343755,32.48931099503325,122.13153691864285,26.981825431175523,27.0069
mel_13:CD56,mel_13,CD56,9.123641073334326,2.6335891668087728,3.42438823092109,216.71417691661986,10.240032146668653,8.00725
mel_13:CD68,mel_13,CD68,25.004200000000004,3.74194,7.138877795336921,168.22,25.000000000000004,25.0084
mel_13:CD8,mel_13,CD8,35.98566332669353,23.794536851644267,26.37353679274503,120.55949566827178,35.96452665338707,36.0068
mel_13:DAPI,mel_13,DAPI,28.5745,119.1945,118.242558517288,236.973,0,28.5745
mel_13:FOXP3,mel_13,FOXP3,3.0029950000000003,1.78049,2.1427607278705043,85.34669999999998,3.0000000000000004,3.00599
mel_13:ICOS,mel_13,ICOS,3.3871149999999997,2.759415795675473,3.3575635179612755,142.9999312349927,3.76923,3.005
mel_13:IDO1,mel_13,IDO1,7.929102249205993,2.1404495411987012,2.301733579941489,193.87654832569788,7.848104498411987,8.0101
mel_13:KI67,mel_13,KI67,11.0059,2.23333,4.305223220341936,238.735,11,11.0118
mel_13:LAG3,mel_13,LAG3,1.3918260397970958,0.17361079045885663,0.5279452884305225,105.92668887882677,1.779412079594192,1.00424
mel_13:MHCI,mel_13,MHCI,25.0032,32.1683,32.109632083643035,173.489,25.000000000000004,25.0064
mel_13:MHCII,mel_13,MHCII,8.00305,6.275,8.45367440145478,196.065,8,8.0061
mel_13:MRC1,mel_13,MRC1,18.96577524408703,3.806453281454316,5.762190852816993,124.04916132454288,18.92305048817406,19.0085
mel_13:PCK26,mel_13,PCK26,9.013995000000001,0,0.0776164436406026,55.4583,8.99351,9.03448
mel_13:PD1,mel_13,PD1,1.002325,0.5499997569204809,0.6646170146688977,53.08412751164497,1,1.00465
mel_13:PDL1,mel_13,PDL1,1.002605,0.1363634044862767,0.5142462331064699,20.500014543801065,1,1.00521
mel_13:S100B,mel_13,S100B,6.956018181612093,1.0170471137121366,1.5745708887329983,198.53942493219824,6.902776363224186,7.00926
mel_13:SOX10,mel_13,SOX10,7.946530000000001,0.7,0.7319346487918099,80.2222,7.85897,8.03409
mel_13:TGM2,mel_13,TGM2,10.997976596019544,4.6435624236837665,5.991577971394685,92.01373414710106,10.989353192039088,11.0066
mel_13:TIM3,mel_13,TIM3,25.002850000000002,18.03985,20.50409782981379,133.241,25.000000000000004,25.0057
