SampleMarker,Sample,Marker,Theta,Median,Mean,Max,MaxN,MinP
mel_3:B2M,mel_3,B2M,7.003545000000001,9.49474,10.306668278726592,54.8636,7.000000000000001,7.00709
mel_3:B7H3,mel_3,B7H3,7.002995,12.9431,14.900233639495054,98.4531,7.000000000000001,7.00599
mel_3:CD14,mel_3,CD14,39.003150000000005,7.4359,13.828272103774129,189.667,39.00000000000001,39.0063
mel_3:CD163,mel_3,CD163,21.999329022914722,5.116180270244144,8.56522005083374,142.86216534646337,21.989258045829445,22.0094
mel_3:CD20,mel_3,CD20,20.713124999999998,1.1063828,1.6224560608508622,56.123559780497246,20.41665,21.0096
mel_3:CD25,mel_3,CD25,8.73322898015619,4.020205526882416,4.315056624537519,36.33684280222913,10.46032796031238,7.00613
mel_3:CD27,mel_3,CD27,8.003905,2.67797,5.253378027037549,125.101,8,8.00781
mel_3:CD3,mel_3,CD3,6.9967949620420455,1.2781954076594477,5.904552099351876,166.5819103192288,6.980769924084092,7.01282
mel_3:CD4,mel_3,CD4,8.974298269763239,1.9364151931321805,4.688428648359255,53.04650248746111,8.940536539526478,9.00806
mel_3:CD45,mel_3,CD45,12.80275084637345,7.402981857090079,11.049023447363805,93.41674254298367,14.598301692746897,11.0072
mel_3:CD56,mel_3,CD56,5.209228719514851,0.37777769447731335,1.4952247800660492,74.20150697859394,5.410257439029702,5.0082
mel_3:CD68,mel_3,CD68,10.0038,0.372093,1.3202219849067511,99.8261,10,10.0076
mel_3:CD8,mel_3,CD8,26.424812909540048,1.5771797551889928,7.4042145878904675,94.18386566642411,26.817725819080096,26.0319
mel_3:DAPI,mel_3,DAPI,28.5714,104.233,109.51204721982138,251.214,0,28.5714
mel_3:FOXP3,mel_3,FOXP3,3.004855,0.83871,0.9826230096611928,37.4714,3,3.00971
mel_3:ICOS,mel_3,ICOS,3.995058984342248,0.8000001461328343,1.685080203569741,69.80141165272788,3.985507968684496,4.00461
mel_3:IDO1,mel_3,IDO1,5.8913330286527,2.2500026886132694,2.284219449026543,35.55557551051294,5.767956057305401,6.014709999999999
mel_3:KI67,mel_3,KI67,7.005555,2.69697,3.2739521033899934,181.14,7,7.01111
mel_3:LAG3,mel_3,LAG3,1.9856237089030822,0.2672953352558015,0.4273572806833263,77.96803702198045,1.9651174178061641,2.00613
mel_3:MHCI,mel_3,MHCI,12.003,14.417900000000001,16.77417166020167,154.992,12.000000000000002,12.006
mel_3:MHCII,mel_3,MHCII,16.004550000000002,2.67327,7.518904093064246,193.378,16,16.0091
mel_3:MRC1,mel_3,MRC1,16.939646012300667,1.7397934968264157,3.840633932714897,89.64043959008187,16.855992024601335,17.0233
mel_3:PCK26,mel_3,PCK26,9.135415,0,0.02036994659636992,22.5758,8.95833,9.3125
mel_3:PD1,mel_3,PD1,1.00347,0.13392856678557685,0.38157773189433325,10.60604478308023,1,1.00694
mel_3:PDL1,mel_3,PDL1,0.9925763791915038,0.025000013848207246,0.059626127990555125,11.954336539611749,0.9739127583830076,1.01124
mel_3:S100B,mel_3,S100B,4.001631799309473,0.5806452922778922,0.8673597566851721,169.03053401992292,3.9934635986189466,4.0098
mel_3:SOX10,mel_3,SOX10,11.66555,0.77,0.7912337559542879,15.337300000000003,10.7231,12.607999999999999
mel_3:TGM2,mel_3,TGM2,4.003105,1.1677847604698433,1.5700867730294028,42.111120949866994,4,4.00621
mel_3:TIM3,mel_3,TIM3,20.003149999999998,14.3571,16.351402688535487,201.75000000000003,20,20.0063
